model	file	W2_statistic	p_value
GTR20+C60opt+R3-PMSF	seq_76.fa_gap.sitewise_entropy.txt	1.054737e-01	5.590482e-01
GTR20+C60opt+R3-PMSF	seq_77.fa_gap.sitewise_entropy.txt	2.387500e-01	2.035237e-01
GTR20+C60opt+R3-PMSF	seq_78.fa_gap.sitewise_entropy.txt	2.018391e-02	9.969116e-01
GTR20+C60opt+R3-PMSF	seq_79.fa_gap.sitewise_entropy.txt	8.607878e-02	6.579045e-01
GTR20+C60opt+R3-PMSF	seq_8.fa_gap.sitewise_entropy.txt	1.326803e-02	9.998812e-01
GTR20+C60opt+R3-PMSF	seq_80.fa_gap.sitewise_entropy.txt	3.114941e-02	9.725554e-01
GTR20+C60opt+R3-PMSF	seq_81.fa_gap.sitewise_entropy.txt	4.127396e-02	9.269329e-01
GTR20+C60opt+R3-PMSF	seq_82.fa_gap.sitewise_entropy.txt	1.780878e-01	3.144133e-01
GTR20+C60opt+R3-PMSF	seq_83.fa_gap.sitewise_entropy.txt	1.992575e-02	9.971510e-01
GTR20+C60opt+R3-PMSF	seq_84.fa_gap.sitewise_entropy.txt	2.917009e-02	9.790882e-01
GTR20+C60opt+R3-PMSF	seq_85.fa_gap.sitewise_entropy.txt	2.979328e-02	9.771297e-01
GTR20+C60opt+R3-PMSF	seq_86.fa_gap.sitewise_entropy.txt	9.850714e-02	5.926201e-01
GTR20+C60opt+R3-PMSF	seq_87.fa_gap.sitewise_entropy.txt	3.313747e-02	9.651093e-01
GTR20+C60opt+R3-PMSF	seq_88.fa_gap.sitewise_entropy.txt	6.260125e-02	7.981261e-01
GTR20+C60opt+R3-PMSF	seq_89.fa_gap.sitewise_entropy.txt	4.286217e-02	9.183413e-01
GTR20+C60opt+R3-PMSF	seq_9.fa_gap.sitewise_entropy.txt	8.507981e-02	6.634509e-01
GTR20+C60opt+R3-PMSF	seq_90.fa_gap.sitewise_entropy.txt	8.798031e-02	6.474683e-01
GTR20+C60opt+R3-PMSF	seq_91.fa_gap.sitewise_entropy.txt	1.814714e-02	9.984656e-01
GTR20+C60opt+R3-PMSF	seq_92.fa_gap.sitewise_entropy.txt	1.160815e-01	5.119477e-01
GTR20+C60opt+R3-PMSF	seq_93.fa_gap.sitewise_entropy.txt	1.277085e-01	4.655192e-01
GTR20+C60opt+R3-PMSF	seq_94.fa_gap.sitewise_entropy.txt	1.870286e-02	9.981144e-01
GTR20+C60opt+R3-PMSF	seq_95.fa_gap.sitewise_entropy.txt	2.273682e-01	2.202513e-01
GTR20+C60opt+R3-PMSF	seq_96.fa_gap.sitewise_entropy.txt	4.264828e-02	9.195154e-01
GTR20+C60opt+R3-PMSF	seq_97.fa_gap.sitewise_entropy.txt	1.315839e-01	4.511629e-01
GTR20+C60opt+R3-PMSF	seq_98.fa_gap.sitewise_entropy.txt	4.734588e-02	8.927027e-01
GTR20+C60opt+R3-PMSF	seq_99.fa_gap.sitewise_entropy.txt	4.781936e-02	8.898983e-01
LG+C60+R3	seq_1.fa_gap.sitewise_entropy.txt	1.668270e-02	9.991658e-01
LG+C60+R3	seq_10.fa_gap.sitewise_entropy.txt	5.284976e-02	8.593148e-01
LG+C60+R3	seq_100.fa_gap.sitewise_entropy.txt	7.241148e-02	7.373409e-01
LG+C60+R3	seq_11.fa_gap.sitewise_entropy.txt	2.115529e-01	2.462610e-01
LG+C60+R3	seq_12.fa_gap.sitewise_entropy.txt	1.970618e-01	2.733490e-01
LG+C60+R3	seq_13.fa_gap.sitewise_entropy.txt	4.739731e-02	8.923988e-01
LG+C60+R3	seq_14.fa_gap.sitewise_entropy.txt	8.774851e-02	6.487320e-01
LG+C60+R3	seq_15.fa_gap.sitewise_entropy.txt	2.037717e-01	2.603869e-01
LG+C60+R3	seq_16.fa_gap.sitewise_entropy.txt	3.026204e-02	9.755964e-01
LG+C60+R3	seq_17.fa_gap.sitewise_entropy.txt	6.699929e-02	7.706099e-01
LG+C60+R3	seq_18.fa_gap.sitewise_entropy.txt	6.593627e-02	7.772301e-01
LG+C60+R3	seq_19.fa_gap.sitewise_entropy.txt	9.857963e-02	5.922596e-01
LG+C60+R3	seq_2.fa_gap.sitewise_entropy.txt	2.686470e-02	9.855218e-01
LG+C60+R3	seq_20.fa_gap.sitewise_entropy.txt	1.548273e-02	9.995357e-01
LG+C60+R3	seq_21.fa_gap.sitewise_entropy.txt	3.072306e-02	9.740389e-01
LG+C60+R3	seq_22.fa_gap.sitewise_entropy.txt	6.829352e-02	7.625833e-01
LG+C60+R3	seq_23.fa_gap.sitewise_entropy.txt	6.893849e-02	7.585985e-01
LG+C60+R3	seq_24.fa_gap.sitewise_entropy.txt	1.320528e-02	9.998864e-01
LG+C60+R3	seq_25.fa_gap.sitewise_entropy.txt	7.023632e-02	7.506137e-01
LG+C60+R3	seq_26.fa_gap.sitewise_entropy.txt	8.503998e-02	6.636729e-01
LG+C60+R3	seq_27.fa_gap.sitewise_entropy.txt	2.793729e-01	1.547518e-01
LG+C60+R3	seq_28.fa_gap.sitewise_entropy.txt	7.926418e-02	6.965849e-01
LG+C60+R3	seq_29.fa_gap.sitewise_entropy.txt	1.761348e-02	9.987565e-01
LG+C60+R3	seq_3.fa_gap.sitewise_entropy.txt	1.024288e-01	5.734577e-01
LG+C60+R3	seq_30.fa_gap.sitewise_entropy.txt	6.957788e-02	7.546589e-01
LG+C60+R3	seq_31.fa_gap.sitewise_entropy.txt	4.015106e-02	9.328186e-01
LG+C60+R3	seq_32.fa_gap.sitewise_entropy.txt	1.532371e-02	9.995734e-01
LG+C60+R3	seq_33.fa_gap.sitewise_entropy.txt	3.466391e-01	1.004364e-01
LG+C60+R3	seq_34.fa_gap.sitewise_entropy.txt	3.766797e-01	8.333891e-02
LG+C60+R3	seq_35.fa_gap.sitewise_entropy.txt	1.220072e-02	9.999484e-01
LG+C60+R3	seq_36.fa_gap.sitewise_entropy.txt	3.372070e-02	9.627661e-01
LG+C60+R3	seq_37.fa_gap.sitewise_entropy.txt	3.124912e-02	9.722026e-01
